key,Name,ra,dec,rhalf,rhalf_error,position_angle,position_angle_error,ellipticity,ellipticity_error,ref_structure,dm,dm_error,dist,dist_error,ref_distance,rhalf_physical,rhalf_sph_physical,MV,MV_error,ref_mv,vlos_systemic,vlos_systemic_error,vlos_sigma,vlos_sigma_error,vlos_sigma_upper_limit,ref_spectra,,dr3_pmra,dr3_pmra_error,dr3_pmdec,dr3_pmdec_error,ref_dr3_proper_motion,dr2_pmra,dr2_pmra_error,dr2_pmdec,dr2_pmdec_error,ref_dr2_proper_motion,metallicity,metallicity_error,ref_metallicity,rcore,rcore_error,rking,rking_error,king_concentration,king_concentration_error,ref_king,age,age_error,ref_age,other_names
terzan_2,Terzan_2_HP_3,261.8879167,-30.80233333,1.52,,,,,,,14.37530632,,7.5,,,3.316125579,3.316125579,-5.88,,,109,15,,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,
terzan_3,Terzan_3,247.167,-35.35347222,1.25,,,,,,,14.56906926,,8.2,,,2.981604139,2.981604139,-4.82,,,-136.3,0.7,,,,,,,,,,,,,,,,-0.74,,,,,,,,,,,,,
terzan_4,Terzan_4_HP_4,262.6625,-31.59552778,1.85,,,,,,,14.28666248,,7.2,,,3.874630939,3.874630939,-4.48,,,-50,2.9,,,,,,,,,,,,,,,,-1.41,,,,,,,,,,,,,
terzan_5,Terzan_5_11,267.0193333,-24.77961111,0.72,,,,,,,13.85426006,,5.9,,,1.23569311,1.23569311,-9.12,,,-93,2,,,,,,-1.979,0.058,-5.199,0.054,Vasiliev2021MNRAS.505.5978V,,,,,,-0.34,,,,,,,,,,,,,
terzan_6,Terzan_6_HP_5,267.69325,-31.27538889,0.44,,,,,,,14.16254456,,6.8,,,0.8703375203,0.8703375203,-7.59,,,126,15,,,,,,,,,,,,,,,,-0.56,,,,,,,,,,,,,
terzan_7,Terzan_7,289.433,-34.65772222,0.77,,,,,,,16.78967424,,22.8,,,5.106833391,5.106833391,-5.01,,,166,4,,,,,,,,,,,,,,,,-0.32,,,,,,,,,,,,,
terzan_8,Terzan_8,295.4350417,-33.99947222,0.95,,,,,,,17.09977874,,26.3,,,7.267841894,7.267841894,-5.07,,,130,8,,,,,,,,,,,,,,,,-2.16,,,,,,,,,,,,,
terzan_9,Terzan_9,270.4116667,-26.83972222,0.78,,,,,,,14.25629174,,7.1,,,1.6109389,1.6109389,-3.71,,,59,10,,,,,,,,,,,,,,,,-1.05,,,,,,,,,,,,,
ton_2,Ton2_Pismis26,264.04375,-38.55333333,1.3,,,,,,,14.56906926,,8.2,,,3.100868304,3.100868304,-6.17,,,-184.4,2.2,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,
uks_1,UKS_1,268.6133333,-24.14527778,,,,,,,,14.46047301,,7.8,,,0,0,-6.91,,,57,6,,,,,,,,,,,,,,,,-0.64,,,,,,,,,,,,,
whiting_1,Whiting_1,30.7375,-3.252777778,0.22,,,,,,,17.39283248,,30.1,,,1.926261718,1.926261718,-2.46,,,-130.6,1.8,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,
