_RAJ2000_1,_DEJ2000_1,Names_1,RAJ2000_1,DEJ2000_1,Type_1,amaj_1,bmin,l_logAge,logAge,r_logAge,__M_H_,r__M_H_,PapI,B18,SimbadName_1,recno_1,_RAJ2000_2,_DEJ2000_2,Names_2,RAJ2000_2,DEJ2000_2,Type_2,amaj_2,amin,PA,Com,SimbadName_2,recno_2,Separation
10.90833333333333,-72.64777777777776,BIS435,10.908333333333331,-72.64777777777776,"  A",1.56,1.56," ",9.56,BGB+18,,,0,B18,[BGB2018] SMC-IR1-435,373,,,,,,,,,,,,,
10.910833333333331,-73.22861111111112,BMS121,10.910833333333333,-73.2286111111111,"  A",1.27,1.27," ",8.02,BGB+18,,,0,B18,[BGB2018] SMC-M2-121,375,,,,,,,,,,,,,
10.913749999999999,-73.16527777777777,BIS356,10.913749999999999,-73.16527777777777,"  A",2.92,2.92," ",8.4,BGB+18,,,0,B18,[BGB2018] SMC-IR1-356,376,,,,,,,,,,,,,
10.924166666666665,-73.78305555555555,BUS684,10.924166666666665,-73.78305555555555,"  A",1.38,1.38," ",8.17,BGB+18,,,0,B18,[BGB2018] SMC-NUV-684,377,,,,,,,,,,,,,
10.929583333333332,-74.22416666666666,BS22,10.929583333333332,-74.22416666666666," AC",1.0,0.65," ",,,,,1,B18,[BS95] 22,378,,,,,,,,,,,,,
10.931666666666665,-74.19083333333333,BS21,10.931666666666665,-74.19083333333333," AC",1.0,1.0," ",,,,,1,B18,[BS95] 21,379,,,,,,,,,,,,,
10.93333333333333,-72.62777777777777,BUS871,10.933333333333332,-72.62777777777777,"  A",1.88,1.88," ",8.94,BGB+18,,,0,B18,[BGB2018] SMC-NUV-871,380,,,,,,,,,,,,,
10.943333333333333,-73.11777777777777,BIS369,10.943333333333332,-73.11777777777777,"  A",1.57,1.57," ",8.45,BGB+18,,,0,B18,[BGB2018] SMC-IR1-369,382,,,,,,,,,,,,,
10.943749999999998,-72.73027777777777,BIS421,10.943749999999998,-72.73027777777777,"  A",1.57,1.57," ",8.87,BGB+18,,,0,B18,[BGB2018] SMC-IR1-421,383,,,,,,,,,,,,,
10.946666666666667,-72.82305555555554,BIS407,10.946666666666665,-72.82305555555554,"  A",3.36,3.36," ",8.65,BGB+18,,,0,B18,[BGB2018] SMC-IR1-407,384,,,,,,,,,,,,,
10.955416666666663,-73.34750000000001,BIS332,10.955416666666665,-73.3475,"  A",1.64,1.64," ",8.28,BGB+18,,,0,B18,[BGB2018] SMC-IR1-332,385,,,,,,,,,,,,,
10.969166666666665,-73.00305555555555,BUS832,10.969166666666665,-73.00305555555555,"  A",1.18,1.18," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-NUV-832,386,,,,,,,,,,,,,
10.972499999999998,-73.28944444444446,BMS104,10.972499999999998,-73.28944444444444,"  A",3.09,3.09," ",8.3,BGB+18,,,0,B18,[BGB2018] SMC-M2-104,387,,,,,,,,,,,,,
10.976666666666665,-73.61027777777777,BUS738,10.976666666666665,-73.61027777777777,"  A",1.18,1.18," ",8.86,BGB+18,,,0,B18,[BGB2018] SMC-NUV-738,388,,,,,,,,,,,,,
10.977083333333331,-73.7472222222222,"BIS275,BUS688",10.977083333333331,-73.7472222222222,"  A",3.36,3.36," ",8.25,BGB+18,,,0,B18,[BGB2018] SMC-IR1-275,389,,,,,,,,,,,,,
10.979583333333332,-73.85166666666666,BIS262,10.979583333333332,-73.85166666666666,"  A",1.75,1.75," ",8.73,BGB+18,,,0,B18,[BGB2018] SMC-IR1-262,390,,,,,,,,,,,,,
11.006666666666666,-73.65333333333332,BUS727,11.006666666666666,-73.65333333333332,"  A",1.18,1.18," ",8.67,BGB+18,,,0,B18,[BGB2018] SMC-NUV-727,392,,,,,,,,,,,,,
11.040416666666662,-73.4388888888889,BMS65,11.040416666666665,-73.43888888888888,"  A",0.79,0.79," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-M2-65,393,,,,,,,,,,,,,
11.0475,-73.16194444444443,BMS140,11.0475,-73.16194444444443,"  A",0.83,0.83," ",8.4,BGB+18,,,0,B18,[BGB2018] SMC-M2-140,394,,,,,,,,,,,,,
11.054166666666664,-73.45055555555555,DEMS10,11.054166666666665,-73.45055555555555," NA",4.5,0.8," ",7.2,CVH+06,,,1,B18,DEM S 10,396,,,,,,,,,,,,,
11.057083333333331,-73.58055555555556,BUS743,11.057083333333331,-73.58055555555555,"  A",1.77,1.77," ",8.65,BGB+18,,,0,B18,[BGB2018] SMC-NUV-743,397,,,,,,,,,,,,,
11.066666666666665,-72.24416666666666,BUS909,11.066666666666665,-72.24416666666666,"  A",1.18,1.18," ",8.37,BGB+18,,,0,B18,[BGB2018] SMC-NUV-909,398,,,,,,,,,,,,,
11.07333333333333,-73.3825,BMS74,11.073333333333332,-73.3825,"  A",0.97,0.97," ",8.19,BGB+18,,,0,B18,[BGB2018] SMC-M2-74,399,,,,,,,,,,,,,
11.081666666666665,-73.5386111111111,BIS300,11.081666666666665,-73.5386111111111,"  A",2.36,2.36," ",8.56,BGB+18,,,0,B18,[BGB2018] SMC-IR1-300,400,,,,,,,,,,,,,
11.082499999999998,-72.8911111111111,BIS384,11.082499999999998,-72.8911111111111,"  A",3.36,3.36," ",8.19,BGB+18,,,0,B18,[BGB2018] SMC-IR1-384,401,,,,,,,,,,,,,
11.085416666666665,-73.20777777777776,BS23,11.085416666666665,-73.20777777777776,"  A",2.2,1.7," ",7.2,CVH+06,,,0,B18,[BS95] 23,402,,,,,,,,,,,,,
11.086249999999996,-73.24194444444443,BS24,11.086249999999998,-73.24194444444443,"  A",2.2,0.6," ",6.6,CVH+06,,,0,B18,[BS95] 24,403,,,,,,,,,,,,,
11.087916666666665,-72.75999999999999,BUS863,11.087916666666665,-72.75999999999999,"  A",1.18,1.18," ",7.98,BGB+18,,,0,B18,[BGB2018] SMC-NUV-863,404,,,,,,,,,,,,,
11.091666666666665,-74.24472222222221,BUS608,11.091666666666665,-74.24472222222221,"  A",1.74,1.74," ",8.32,BGB+18,,,0,B18,[BGB2018] SMC-NUV-608,405,,,,,,,,,,,,,
11.104583333333332,-74.02277777777776,BUS655,11.104583333333332,-74.02277777777776,"  A",1.18,1.18," ",8.7,BGB+18,,,0,B18,[BGB2018] SMC-NUV-655,406,,,,,,,,,,,,,
11.10958333333333,-72.95277777777777,BIS392,11.109583333333331,-72.95277777777777,"  A",3.36,3.36," ",8.09,BGB+18,,,0,B18,[BGB2018] SMC-IR1-392,408,,,,,,,,,,,,,
11.110416666666664,-72.88111111111108,BUS839,11.110416666666666,-72.8811111111111,"  A",2.56,2.56," ",8.62,BGB+18,,,0,B18,[BGB2018] SMC-NUV-839,409,,,,,,,,,,,,,
11.111249999999998,-73.31583333333333,BIS342,11.111249999999998,-73.31583333333333,"  A",1.57,1.57," ",8.2,BGB+18,,,0,B18,[BGB2018] SMC-IR1-342,410,,,,,,,,,,,,,
11.121249999999998,-72.81583333333333,RZ38,11.121249999999998,-72.81583333333333,"  C",0.8,0.8," ",8.6,RZ05,,,0,B18,[RZ2005] 38,411,,,,,,,,,,,,,
11.122083333333334,-73.36083333333332,BMS76,11.122083333333332,-73.36083333333332,"  A",2.18,2.18," ",8.24,BGB+18,,,0,B18,[BGB2018] SMC-M2-76,412,,,,,,,,,,,,,
11.14,-72.13777777777777,BUS916,11.139999999999999,-72.13777777777777,"  A",1.48,1.48," ",8.6,BGB+18,,,0,B18,[BGB2018] SMC-NUV-916,413,,,,,,,,,,,,,
11.163333333333334,-72.68833333333332,BIS440,11.163333333333332,-72.68833333333332,"  A",1.57,1.57," ",8.59,BGB+18,,,0,B18,[BGB2018] SMC-IR1-440,414,,,,,,,,,,,,,
11.170416666666663,-73.35999999999999,VMC1,11.170416666666664,-73.35999999999999," NC",0.3,0.3,<,8.4,PIR+16,,,0,B18,[PIR2016] VMC1,415,,,,,,,,,,,,,
11.170833333333333,-72.785,"BUS858,BIS419",11.170833333333333,-72.785,"  A",1.18,1.18," ",8.9,BGB+18,,,0,B18,[BGB2018] SMC-NUV-858,416,,,,,,,,,,,,,
11.172083333333333,-73.27722222222222,BIS350,11.172083333333331,-73.2772222222222,"  A",1.89,1.89," ",8.08,BGB+18,,,0,B18,[BGB2018] SMC-IR1-350,417,,,,,,,,,,,,,
11.193749999999998,-73.20249999999999,BMS129,11.193749999999998,-73.20249999999999,"  A",1.07,1.07," ",8.54,BGB+18,,,0,B18,[BGB2018] SMC-M2-129,420,,,,,,,,,,,,,
11.195416666666667,-73.57499999999999,BIS284,11.195416666666665,-73.57499999999999,"  A",3.36,3.36," ",9.23,BGB+18,,,0,B18,[BGB2018] SMC-IR1-284,421,,,,,,,,,,,,,
11.19708333333333,-73.46861111111112,BMS53,11.197083333333332,-73.4686111111111,"  A",0.79,0.79," ",8.3,BGB+18,,,0,B18,[BGB2018] SMC-M2-53,422,,,,,,,,,,,,,
11.204583333333334,-73.6861111111111,BIS291,11.204583333333332,-73.6861111111111,"  A",1.69,1.69," ",9.36,BGB+18,,,0,B18,[BGB2018] SMC-IR1-291,424,,,,,,,,,,,,,
11.20583333333333,-72.83749999999999,BUS850,11.205833333333333,-72.83749999999999,"  A",1.95,1.95," ",8.85,BGB+18,,,0,B18,[BGB2018] SMC-NUV-850,425,,,,,,,,,,,,,
11.212499999999999,-73.26722222222222,BMS86,11.212499999999999,-73.26722222222222,"  A",2.29,2.29," ",8.2,BGB+18,,,0,B18,[BGB2018] SMC-M2-86,426,,,,,,,,,,,,,
11.213333333333331,-73.61916666666666,BUS690,11.213333333333331,-73.61916666666666,"  A",3.36,3.36," ",9.15,BGB+18,,,0,B18,[BGB2018] SMC-NUV-690,427,,,,,,,,,,,,,
